2026-06-23 18:18:12 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=713daefa-4c7a-4b5e-bc5b-aa595c06c1a4, agent=retail_population_3, side=SELL, type=MARKET, qty=10/10, price=MKT, status=ACTIVE, time=2025-03-01T09:50:00+00:00)
2026-06-23 18:18:12 | INFO     | OrderBook-AAPL | Processing MARKET SELL order: Order(id=713daefa-4c7a-4b5e-bc5b-aa595c06c1a4, agent=retail_population_3, side=SELL, type=MARKET, qty=10/10, price=MKT, status=ACTIVE, time=2025-03-01T09:50:00+00:00)
2026-06-23 18:18:12 | WARNING  | OrderBook-AAPL | Market order 713daefa-4c7a-4b5e-bc5b-aa595c06c1a4 partially unfilled: 10 shares remaining
2026-06-23 18:18:12 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=56ba9400-adeb-4f3d-87e9-493bf0c71d47, agent=institutional_trader, side=BUY, type=MARKET, qty=100/100, price=MKT, status=ACTIVE, time=2025-03-01T09:50:00+00:00)
2026-06-23 18:18:12 | INFO     | OrderBook-AAPL | Processing MARKET BUY order: Order(id=56ba9400-adeb-4f3d-87e9-493bf0c71d47, agent=institutional_trader, side=BUY, type=MARKET, qty=100/100, price=MKT, status=ACTIVE, time=2025-03-01T09:50:00+00:00)
2026-06-23 18:18:12 | INFO     | OrderBook-AAPL | Trade executed: institutional_trader bought 100 shares from market_maker at $100.78 (Total: $10078.00)
2026-06-23 18:18:12 | INFO     | OrderBook-AAPL | Order 33bc5b0c-1d7a-46fb-8767-5f4cf0f68e47 fully filled and removed
2026-06-23 18:18:12 | WARNING  | OrderBook-AAPL | Attempted to cancel non-existent order ID: 33bc5b0c-1d7a-46fb-8767-5f4cf0f68e47
2026-06-23 18:18:12 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=ec02d836-6f2f-4e4a-88be-a9152f81201c, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=100.53, status=ACTIVE, time=2025-03-01T09:50:00+00:00)
2026-06-23 18:18:12 | INFO     | OrderBook-AAPL | Adding LIMIT BUY order: Order(id=ec02d836-6f2f-4e4a-88be-a9152f81201c, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=100.53, status=ACTIVE, time=2025-03-01T09:50:00+00:00)
2026-06-23 18:18:12 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=4a5ef29d-c219-4530-953e-4a49e79e32ef, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.78, status=ACTIVE, time=2025-03-01T09:50:00+00:00)
2026-06-23 18:18:12 | INFO     | OrderBook-AAPL | Adding LIMIT SELL order: Order(id=4a5ef29d-c219-4530-953e-4a49e79e32ef, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.78, status=ACTIVE, time=2025-03-01T09:50:00+00:00)
2026-06-23 18:18:17 | INFO     | OrderBook-AAPL | Order 4a5ef29d-c219-4530-953e-4a49e79e32ef removed from asks at price 100.78
2026-06-23 18:18:17 | INFO     | OrderBook-AAPL | Order canceled: Order(id=4a5ef29d-c219-4530-953e-4a49e79e32ef, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.78, status=CANCELED, time=2025-03-01T09:50:00+00:00)
2026-06-23 18:18:17 | INFO     | OrderBook-AAPL | Order ec02d836-6f2f-4e4a-88be-a9152f81201c removed from bids at price 100.53
2026-06-23 18:18:17 | INFO     | OrderBook-AAPL | Order canceled: Order(id=ec02d836-6f2f-4e4a-88be-a9152f81201c, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=100.53, status=CANCELED, time=2025-03-01T09:50:00+00:00)
2026-06-23 18:18:17 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=150a63a4-4dc1-4078-956b-a03057efb277, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=100.68, status=ACTIVE, time=2025-03-01T09:50:30+00:00)
2026-06-23 18:18:17 | INFO     | OrderBook-AAPL | Adding LIMIT BUY order: Order(id=150a63a4-4dc1-4078-956b-a03057efb277, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=100.68, status=ACTIVE, time=2025-03-01T09:50:30+00:00)
2026-06-23 18:18:17 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=2c91e678-e3d1-422a-b551-c3c2dd81ec04, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.93, status=ACTIVE, time=2025-03-01T09:50:30+00:00)
